naslov,cena_eur,lokacija,kvadratura,broj_soba
"Lux trosoban stan 75m2, odlicna lokacija",325.000,"Beograd, Opština Palilula, Hadžipopovac",75 m2,3.5
Duplex 118 m² kod Đeram pijace,349.000,"Beograd, Opština Zvezdara, Đeram pijaca, Pećska",118 m2,5.0
"BLOK 61 u parku kod vrtića, miran, odličan 2,5",230.000,"Beograd, Opština Novi Beograd, Blok 61, Dr Ivana Ribara",66 m2,2.5
Renoviran i funkcionalan stan u bloku 63,300.000,"Beograd, Opština Novi Beograd, Blok 63, Gandijeva",73 m2,3.0
Jajinci Zelena Oaza premijum stan 4.0,205.000,"Beograd, Opština Voždovac, Jajinci, Ilije Petrovića",97 m2,4.0
"Stan sa dve spavaće sobe, uknjižen u novogradnji",107.000,"Beograd, Opština Grocka, Kaluđerica",50 m2,2.5
"Trosoban stan u West kuli, Novi Beograd, 95m2",530.000,"Beograd, Opština Novi Beograd, Blok 65, Omladinskih brigada",95 m2,3.0
"Prodaja trosobnog stana u Soul 64, parking mesto",389.250,"Beograd, Opština Novi Beograd, Blok 64, Omladinskih brigada",75 m2,3.0
"Odlican 1.5, odmah useljiv, stan u novogradnji!",87.650,"Beograd, Opština Palilula, Kotež, Veletinska","37,38 m2",1.5
"Sunnyville – Nov, prelep porodični stan 67m²",217.000,"Beograd, Opština Palilula, Višnjička Banja, Mirka Milojkovića",67 m2,3.0
"Zemun, novogradnja - 2.0 stan, 43m2",121.000,"Beograd, Opština Zemun, Ugrinovačka, Ugrinovačka",43 m2,2.0
"Lux renoviran, uknjižen, svetao, odmah useljiv",94.900,"Beograd, Opština Palilula, Centar, Ruzveltova",25 m2,0.5
"Mirijevo, lux novogradnja, extra lokacija",96.870,"Beograd, Opština Zvezdara, Mirijevo, Šejkina","32,29 m2",2.0
"4.0 stan na Novom Beogradu u Bloku 19A, 98m2",329.000,"Beograd, Opština Novi Beograd, Blok 19a, Vladimira Popovića",98 m2,4.0
"Moderan 4.5 dupleks kod Đeram pijace, Pećska 118m2",349.000,"Beograd, Opština Zvezdara, Đeram pijaca, Pećska",118 m2,4.5
