naslov,cena_eur,lokacija,kvadratura,broj_soba,cena_po_m2
"Lux trosoban stan 75m2, odlicna lokacija",325000,"Beograd, Opština Palilula, Hadžipopovac",75.0,3.5,4333.333333333333
Duplex 118 m² kod Đeram pijace,349000,"Beograd, Opština Zvezdara, Đeram pijaca, Pećska",118.0,5.0,2957.6271186440677
"BLOK 61 u parku kod vrtića, miran, odličan 2,5",230000,"Beograd, Opština Novi Beograd, Blok 61, Dr Ivana Ribara",66.0,2.5,3484.848484848485
Renoviran i funkcionalan stan u bloku 63,300000,"Beograd, Opština Novi Beograd, Blok 63, Gandijeva",73.0,3.0,4109.58904109589
Jajinci Zelena Oaza premijum stan 4.0,205000,"Beograd, Opština Voždovac, Jajinci, Ilije Petrovića",97.0,4.0,2113.40206185567
"Stan sa dve spavaće sobe, uknjižen u novogradnji",107000,"Beograd, Opština Grocka, Kaluđerica",50.0,2.5,2140.0
"Trosoban stan u West kuli, Novi Beograd, 95m2",530000,"Beograd, Opština Novi Beograd, Blok 65, Omladinskih brigada",95.0,3.0,5578.9473684210525
"Prodaja trosobnog stana u Soul 64, parking mesto",389250,"Beograd, Opština Novi Beograd, Blok 64, Omladinskih brigada",75.0,3.0,5190.0
"Odlican 1.5, odmah useljiv, stan u novogradnji!",87650,"Beograd, Opština Palilula, Kotež, Veletinska",37.38,1.5,2344.836811128946
"Sunnyville – Nov, prelep porodični stan 67m²",217000,"Beograd, Opština Palilula, Višnjička Banja, Mirka Milojkovića",67.0,3.0,3238.805970149254
"Zemun, novogradnja - 2.0 stan, 43m2",121000,"Beograd, Opština Zemun, Ugrinovačka, Ugrinovačka",43.0,2.0,2813.953488372093
"Lux renoviran, uknjižen, svetao, odmah useljiv",94900,"Beograd, Opština Palilula, Centar, Ruzveltova",25.0,0.5,3796.0
"Mirijevo, lux novogradnja, extra lokacija",96870,"Beograd, Opština Zvezdara, Mirijevo, Šejkina",32.29,2.0,3000.0
"4.0 stan na Novom Beogradu u Bloku 19A, 98m2",329000,"Beograd, Opština Novi Beograd, Blok 19a, Vladimira Popovića",98.0,4.0,3357.1428571428573
"Moderan 4.5 dupleks kod Đeram pijace, Pećska 118m2",349000,"Beograd, Opština Zvezdara, Đeram pijaca, Pećska",118.0,4.5,2957.6271186440677
